company,model,manufacture_year,km_driven,owner_type,fuel,transmission,mileage,max_power,seats,price
Maruti,Alto,2017,120000,1st Owner,Petrol,Manual,19.7,46.3,5,120000
Hyundai,Grand,2021,20000,1st Owner,Petrol,Manual,18.9,82.0,5,550000
Hyundai,i20,2015,60000,1st Owner,Petrol,Manual,17.0,80.0,5,215000
Maruti,Alto,2017,37000,1st Owner,Petrol,Manual,20.92,67.1,5,226000
Ford,Ecosport,2020,30000,2nd Owner,Diesel,Manual,22.77,98.59,5,570000
Maruti,Wagon R,2018,35000,1st Owner,Petrol,Manual,18.9,67.1,5,350000
Hyundai,i10,2018,40000,2nd Owner,Petrol,Manual,20.36,78.9,5,315000
Maruti,Wagon R,2023,17512,2nd Owner,Petrol,Manual,20.51,67.04,5,410000
Hyundai,Venue,2024,20000,1st Owner,Petrol,Automatic,18.15,118.35,5,1050000
Maruti,Swift,2022,28321,2nd Owner,Petrol,Manual,16.6,85.0,5,511000
Hyundai,Verna,2018,65278,2nd Owner,Diesel,Manual,22.32,126.32,5,425000
Renault,Duster,2021,50000,1st Owner,Diesel,Manual,19.64,108.45,5,750000
Mini,Cooper,2022,6000,2nd Owner,Petrol,Automatic,14.41,189.08,5,3250000
Maruti,Ciaz,2021,76000,2nd Owner,Diesel,Manual,28.09,88.5,5,650000
Maruti,Swift,2021,20000,1st Owner,Diesel,Manual,25.2,74.0,5,627000
Mercedes-Benz,C-Class,2019,65000,2nd Owner,Diesel,Automatic,19.27,170.0,5,1425000
Maruti,Swift,2019,62200,2nd Owner,Diesel,Manual,28.4,74.0,5,425000
Toyota,Innova,2018,110000,1st Owner,Diesel,Manual,12.99,100.6,8,605000
Maruti,Baleno,2020,20000,1st Owner,Petrol,Manual,21.4,83.1,5,600000
Maruti,Swift Dzire,2021,40000,1st Owner,Petrol,Manual,20.85,83.14,5,575000
Volkswagen,Vento,2018,47000,2nd Owner,Petrol,Manual,16.09,103.2,5,425000
Maruti,Alto,2018,25000,2nd Owner,Petrol,Manual,20.92,67.1,5,230000
Hyundai,Creta,2024,15000,1st Owner,Diesel,Manual,19.67,126.2,5,1225000
Honda,City,2020,50000,1st Owner,Petrol,Manual,17.4,117.3,5,750000
Mahindra,Bolero,2016,25000,1st Owner,Diesel,Manual,13.6,63.0,7,350000
Maruti,Swift Dzire,2020,90000,1st Owner,Diesel,Manual,26.59,74.0,5,600000
Maruti,Swift Dzire,2018,45000,2nd Owner,Diesel,Manual,26.59,74.0,5,390000
Honda,City,2012,77253,2nd Owner,Petrol,Manual,17.7,78.0,5,145000
Hyundai,i20,2023,25000,1st Owner,Petrol,Manual,17.19,81.86,5,700000
Toyota,Fortuner,2018,110000,1st Owner,Diesel,Manual,13.0,168.5,7,1150000
Renault,KWID,2022,30000,1st Owner,Petrol,Manual,23.01,67.0,5,340000
Honda,Amaze,2021,39993,2nd Owner,Petrol,Manual,18.6,88.76,5,465000
Hyundai,Santro,2014,80000,1st Owner,Petrol,Manual,17.92,62.1,5,125000
Mahindra,XUV500,2017,185000,1st Owner,Diesel,Manual,15.1,140.0,7,600000
Maruti,Swift Dzire,2018,90000,1st Owner,Diesel,Manual,23.4,74.0,5,380000
Hyundai,i20,2023,15000,1st Owner,Diesel,Manual,22.54,88.73,5,850000
Hyundai,i20,2023,40000,1st Owner,Petrol,Manual,18.6,81.83,5,598000
Honda,City,2020,31180,2nd Owner,Petrol,Automatic,18.0,117.3,5,700000
Maruti,Swift Dzire,2019,56000,2nd Owner,Diesel,Manual,23.4,74.0,5,410000
Maruti,Baleno,2021,52427,2nd Owner,Petrol,Automatic,21.4,83.1,5,590000
Mahindra,Bolero,2025,40000,1st Owner,Diesel,Manual,21.0,74.96,7,850000
Mahindra,KUV100,2023,17000,1st Owner,Petrol,Manual,18.15,82.0,5,550000
Maruti,Baleno,2021,22000,2nd Owner,Petrol,Manual,15.4,94.0,5,625000
Maruti,Swift Dzire,2021,54000,1st Owner,Petrol,Manual,20.85,83.14,5,600000
Maruti,Wagon R,2024,10000,1st Owner,Petrol,Manual,20.51,67.04,5,445000
Maruti,Ignis,2024,20000,1st Owner,Petrol,Manual,20.89,81.8,5,530000
Maruti,Wagon R,2023,53237,3rd Owner,CNG,Manual,26.6,58.16,5,410000
Datsun,RediGO,2023,27263,1st Owner,Petrol,Manual,22.5,68.0,5,350000
Hyundai,Verna,2019,110000,1st Owner,Diesel,Manual,22.32,126.3,5,520000
Hyundai,i20,2021,70000,1st Owner,Diesel,Manual,22.54,88.73,5,750000
Maruti,Swift Dzire,2022,70000,1st Owner,Diesel,Manual,26.59,74.0,5,560000
Hyundai,i20,2024,39000,2nd Owner,Petrol,Manual,18.6,81.83,5,655000
Hyundai,Santro,2012,56000,2nd Owner,Petrol,Manual,17.8,63.0,5,125000
Hyundai,i20,2023,34000,1st Owner,Petrol,Manual,18.6,81.83,5,550000
Mahindra,Scorpio,2022,50000,1st Owner,Diesel,Manual,15.4,120.0,7,1150000
Volkswagen,Vento,2017,77400,1st Owner,Diesel,Manual,20.54,103.6,5,500000
Mahindra,Marazzo,2024,36000,1st Owner,Diesel,Manual,17.3,121.0,7,990000
Hyundai,Verna,2018,47876,2nd Owner,Diesel,Manual,25.0,113.42,5,551000
Mahindra,XUV500,2023,21500,1st Owner,Diesel,Automatic,15.1,152.87,7,1650000
Hyundai,Grand,2020,75000,2nd Owner,Diesel,Manual,24.0,70.0,5,350000
Ford,Aspire,2022,58000,2nd Owner,Petrol,Manual,18.16,86.8,5,500000
Maruti,Swift Dzire,2023,30000,1st Owner,Petrol,Manual,21.21,81.8,5,575000
Hyundai,Grand,2023,50000,1st Owner,Diesel,Manual,24.0,73.97,5,545000
Ford,Figo,2022,19093,3rd Owner,Petrol,Manual,18.16,86.8,5,525000
Honda,Amaze,2019,50000,1st Owner,Petrol,Manual,18.0,86.7,5,400000
Maruti,Wagon R,2011,37000,2nd Owner,Petrol,Manual,14.0,64.0,5,155000
Maruti,Swift Dzire,2021,47000,2nd Owner,Diesel,Manual,26.59,74.0,5,545000
Honda,City,2018,70000,1st Owner,Petrol,Manual,16.8,116.3,5,545000
Renault,KWID,2021,25000,1st Owner,Petrol,Manual,25.17,53.3,5,240000
Maruti,Vitara,2023,26000,2nd Owner,Diesel,Manual,24.3,88.5,5,725000
Ford,Aspire,2022,30000,1st Owner,Petrol,Manual,18.16,86.8,5,480000
Hyundai,i20,2018,15000,1st Owner,Petrol,Manual,18.5,82.9,5,375000
Maruti,Swift,2016,160000,1st Owner,Diesel,Manual,17.8,75.0,5,225000
Tata,Tiago,2022,32100,1st Owner,Petrol,Manual,23.84,84.0,5,400000
Hyundai,i20,2021,22000,2nd Owner,Petrol,Manual,18.5,82.9,5,550000
Mahindra,Scorpio,2021,44000,2nd Owner,Diesel,Manual,15.4,120.0,7,1050000
Volkswagen,Polo,2021,78000,2nd Owner,Petrol,Manual,18.78,74.0,5,450000
Mercedes-Benz,C-Class,2017,74352,2nd Owner,Petrol,Automatic,11.74,186.0,5,775000
Maruti,Wagon R,2019,37000,1st Owner,Petrol,Manual,20.51,67.04,5,350000
Honda,City,2019,69000,2nd Owner,Diesel,Manual,25.1,98.6,5,550000
Kia,Seltos,2024,12120,1st Owner,Petrol,Manual,16.8,113.4,5,1080000
Maruti,Baleno,2021,52000,2nd Owner,Petrol,Manual,21.01,81.8,5,575000
Toyota,Innova,2021,120000,1st Owner,Diesel,Manual,12.99,100.6,8,950000
Maruti,Alto,2018,55000,1st Owner,Petrol,Manual,22.74,47.3,5,230000
Hyundai,i20,2016,160000,1st Owner,Diesel,Manual,21.9,90.0,5,270000
Ford,Figo,2016,40000,1st Owner,Petrol,Manual,15.6,70.0,5,130000
Maruti,Swift Dzire,2017,46000,2nd Owner,Petrol,Manual,19.1,85.8,5,370000
Maruti,Baleno,2022,25000,2nd Owner,Petrol,Manual,21.4,83.1,5,570000
Volkswagen,Polo,2018,90000,2nd Owner,Diesel,Manual,22.07,73.9,5,365000
Hyundai,i20,2017,49566,2nd Owner,Petrol,Manual,18.5,82.85,5,280000
Hyundai,Verna,2023,14000,2nd Owner,Diesel,Automatic,22.0,126.2,5,1250000
Hyundai,i20,2021,11000,2nd Owner,Petrol,Manual,18.6,81.83,5,590000
Maruti,Celerio,2023,5000,1st Owner,Petrol,Automatic,23.1,67.04,5,475000
Ford,Ecosport,2022,55000,2nd Owner,Diesel,Manual,23.0,98.96,5,685000
Hyundai,Verna,2017,65000,2nd Owner,Diesel,Automatic,19.08,126.32,5,380000
Renault,KWID,2023,22000,1st Owner,Petrol,Manual,23.01,67.0,5,330000
Maruti,Baleno,2023,7671,3rd Owner,Petrol,Manual,21.01,81.8,5,650000
Maruti,Wagon R,2021,66000,1st Owner,Petrol,Manual,20.51,67.04,5,325000
Maruti,Swift Dzire,2023,45156,2nd Owner,Petrol,Automatic,21.21,81.8,5,640000
Hyundai,Venue,2024,25000,1st Owner,Petrol,Manual,18.27,118.35,5,949000
Hyundai,Verna,2020,120000,1st Owner,Diesel,Manual,23.9,126.2,5,660000
Maruti,Swift,2019,28000,2nd Owner,Petrol,Manual,16.1,85.0,5,435000
Hyundai,i20,2018,55000,2nd Owner,Diesel,Manual,21.9,88.76,5,385000
Hyundai,Verna,2024,14000,2nd Owner,Diesel,Automatic,22.0,126.2,5,1250000
Maruti,Wagon R,2014,98780,2nd Owner,Petrol,Manual,18.9,67.1,5,155000
Maruti,Swift,2020,58000,2nd Owner,Diesel,Manual,25.2,74.0,5,415000
Maruti,Alto,2016,30000,1st Owner,Petrol,Manual,20.92,67.1,5,251000
Mahindra,Scorpio,2021,46400,2nd Owner,Diesel,Manual,15.4,120.0,7,1150000
Hyundai,i10,2019,32111,3rd Owner,Petrol,Manual,19.81,68.05,5,310000
Datsun,GO,2020,35000,1st Owner,Petrol,Manual,19.44,67.0,7,350000
Mahindra,Scorpio,2022,30000,2nd Owner,Diesel,Manual,15.4,120.0,7,1125000
BMW,5,2021,63000,2nd Owner,Diesel,Automatic,18.59,261.49,5,2600000
Datsun,GO,2023,10000,1st Owner,Petrol,Manual,20.62,67.0,7,480000
Maruti,Swift Dzire,2022,25000,1st Owner,Diesel,Automatic,28.4,74.02,5,850000
Hyundai,Creta,2022,102000,2nd Owner,Diesel,Automatic,17.01,126.2,5,1100000
Maruti,Swift,2023,35000,2nd Owner,Petrol,Manual,22.0,81.8,5,575000
Maruti,Swift Dzire,2017,49948,2nd Owner,Petrol,Manual,17.5,85.8,5,340000
Ford,Ecosport,2023,55000,1st Owner,Diesel,Manual,23.0,98.96,5,925000
Hyundai,Grand,2020,36000,2nd Owner,Petrol,Manual,18.9,82.0,5,400000
Honda,City,2021,49625,2nd Owner,Petrol,Manual,17.8,117.3,5,725000
Maruti,Swift Dzire,2019,35000,1st Owner,Diesel,Manual,23.4,74.0,5,600000
Mahindra,Scorpio,2018,95000,1st Owner,Diesel,Manual,12.05,120.0,8,550000
Ford,Aspire,2022,36000,2nd Owner,Diesel,Manual,25.83,99.0,5,585000
Maruti,Wagon R,2024,50000,1st Owner,Petrol,Manual,21.79,67.05,5,411000
Maruti,Swift Dzire,2020,26500,1st Owner,Petrol,Manual,20.85,83.14,5,450000
Honda,CR-V,2020,80000,2nd Owner,Petrol,Automatic,13.7,153.86,5,1290000
Volkswagen,Polo,2020,46000,2nd Owner,Petrol,Manual,16.47,74.0,5,455000
Hyundai,Grand,2024,9000,1st Owner,Petrol,Manual,20.7,81.86,5,710000
Honda,City,2021,53000,2nd Owner,Petrol,Manual,16.8,116.3,5,770000
Ford,Endeavour,2023,11387,1st Owner,Diesel,Automatic,10.91,197.0,7,2900000
Honda,Amaze,2023,50000,1st Owner,Diesel,Manual,25.8,98.6,5,720000
Mahindra,KUV,2021,52000,2nd Owner,Diesel,Manual,25.32,77.0,5,375000
Datsun,GO,2020,35000,1st Owner,Petrol,Manual,19.44,67.0,7,400000
Renault,Duster,2020,48000,1st Owner,Diesel,Manual,19.87,83.8,5,600000
Honda,Jazz,2023,18000,1st Owner,Petrol,Manual,18.7,88.7,5,600000
Maruti,Wagon R,2017,57413,1st Owner,CNG,Manual,14.4,61.7,5,270000
Hyundai,i20,2020,30000,1st Owner,Petrol,Manual,18.6,81.83,5,500000
Hyundai,Verna,2020,55000,2nd Owner,Diesel,Manual,23.9,126.2,5,650000
